Smiles,Standard_Type,Standard_Relation,Standard_Value,Standard_Units,pChEMBL_Value,BAO_Label,Target_Name
O=P(O)(CN1CCCCCC1)C1Cc2ccccc2C1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
NC(=O)c1ccsc1NC(=O)COC(=O)COc1ccccc1[N+](=O)[O-],Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
Cc1ccc(NC(=O)CN2C(=O)S/C(=C/c3ccc(O)c([N+](=O)[O-])c3)C2=O)cc1C,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
COC(=O)c1ccc(/N=C2\C(Cl)=C(O)OC2OC(=O)c2ccccc2)cc1,Potency,'=',10000.0,nM,5.0,assay format,Beta-lactamase AmpC
,Potency,'=',1995.3,nM,5.7,assay format,Beta-lactamase AmpC
O=C(O)CC1(CC(=O)N2CCC(C(=O)O)CC2)CCCC1,Potency,'=',44668.4,nM,4.35,assay format,Beta-lactamase AmpC
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])C(C)(C)S[C@H]12.[Na+],Potency,'=',2511.9,nM,5.6,assay format,Beta-lactamase AmpC
Cc1ccccc1CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,Potency,'=',28183.8,nM,4.55,assay format,Beta-lactamase AmpC
CCCCSc1nnc([C@@H]2CCCN2C(=O)OC(C)(C)C)o1,Potency,'=',31622.8,nM,4.5,assay format,Beta-lactamase AmpC
C[C@H]1[C@H](NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,Potency,'=',3981.1,nM,5.4,assay format,Beta-lactamase AmpC
Cc1cc(C)nc(SSc2nc(C)cc(C)n2)n1,Potency,'=',79432.8,nM,4.1,assay format,Beta-lactamase AmpC
CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)c1nnc(S(=O)(=O)Cc2ccccc2)o1,Potency,'=',17782.8,nM,4.75,assay format,Beta-lactamase AmpC
Cc1cc(C)c(C)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1C,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
COc1ccc(OC)c(CCNC(=O)Cn2sc3nc(C)cc(C)c3c2=O)c1,Potency,'=',50118.7,nM,4.3,assay format,Beta-lactamase AmpC
Cc1cc(C)c(NC(=O)c2cc3sc(Cl)cc3n2C)c(C)c1,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
Cc1ccccc1NC(=O)CN1C(=O)S/C(=C\c2ccc(-c3cc(C(=O)O)ccc3C)o2)C1=O,Potency,'=',56234.1,nM,4.25,assay format,Beta-lactamase AmpC
COc1ccc(OC)c(S(=O)(=O)ON2C(=O)c3ccccc3C2=O)c1,Potency,'=',39810.7,nM,4.4,assay format,Beta-lactamase AmpC
