Smiles,pChEMBL_Value
C#CCN1C(C)=C(C(=O)OC)C(c2cccc([N+](=O)[O-])c2)C(C(=O)OCC)=C1C,4.9
C#CCN1CC(C)/C(=N/O)CC1C.Cl,6.25
C#CCNC(=O)/C=C/c1ccc(OC)cc1,5.75
C#CCNc1nc(C(C)C)nc2c1nnn2Cc1ccccc1F,5.75
C#CCNc1nc(CC)nc2c1nnn2Cc1ccccc1F,4.95
C#CCOC(=O)C1C2C=CC(C2)C1C(=O)O,6.2
C#CCOC(=O)CCC(=O)NCCc1ccccc1,4.3
C#CCOC(=O)CCC(=O)Nc1cc(OC)nc(OC)n1,4.0
C#CCOC(=O)CN1C(=O)c2cccc3cccc(c23)C1=O,4.4
C#CCOC(=O)C[N+](C)(C)CC=C.[Cl-],4.05
C#CCOC(=O)c1ccccc1C(=O)N(CC)CC,5.25
C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,4.05
C#CCONC(=O)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,4.1
C#CCOc1c(Cl)cc(/C=N/NC(N)=S)cc1OCC,4.05
C#CCOc1cc(C2C3=C(O)OCC3=Nc3cc4c(cc32)OCO4)ccc1OC,5.35
C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,6.5
C#CCOc1ccc(C2C(C#N)=C(N)Oc3cc(O)ccc32)cc1,5.2
C#CCOc1ccccc1CNc1ccccc1,4.25
C#CCOc1nc(OCC#C)nc(OCC#C)n1,4.15
C#CCSC1=C(C#N)C(c2cccs2)/C(=C(/O)OCC)C(C)=N1,5.55
C#CCSc1ncc(-c2ccccc2)cn1,4.85
C#CCSc1ncc(S(=O)(=O)c2ccccc2)c(O)n1,6.2
C#CCSc1nnc(-c2c[nH]c3ccccc23)n1C,5.55
C#CCSc1nnc(-c2ccc(C)cc2)o1,4.25
C#CCSc1nnc(-c2ccc(OC)cc2)o1,5.65
C#CCSc1nnc(-c2ccc([N+](=O)[O-])cc2)o1,4.65
C#CC[N+](C)(C)CC#Cc1ccc(Cl)cc1.[Br-],5.3
C#CC[N+](C)(C)CCCCCCCCC.[Br-],4.35
C#CC[N+]1(CC#Cc2ccccc2)CCCCC1.[I-],4.1
C#CC[N+]1(CC#Cc2ccccc2)CCOCC1.[I-],4.35
C#CC[n+]1ccn(CC(=O)N(C)C)c1.[Br-],6.2
C#CCn1/c(=N/C(=O)c2ccccc2[N+](=O)[O-])sc2cc(S(C)(=O)=O)ccc21,6.15
C#CCn1/c(=N/C(=O)c2cccs2)sc2cccc(OCC)c21,5.5
C#CCn1c(S(=O)(=O)Cc2ccc(F)cc2)nc(-c2ccccc2)c1-c1ccccc1,5.0
C#CCn1cc(/C=N/NC(=O)c2cc3ccccc3o2)c2ccccc21,4.3
C#CCn1ncnc1C(O)(c1ccccc1)c1ccccc1,4.75
C#Cc1ccc(CN2CCC(Oc3cc(C(=O)NC4CC4)ccc3OC)CC2)cc1,4.85
C#Cc1ccc(CN2CCC(Oc3ccc(C(=O)NCc4ccccn4)cc3)CC2)cc1,6.2
C#Cc1ccc(CN2CCN(CCc3ccccc3)C(CCO)C2)cc1,4.4
C(#CCN1CCC(Cc2ccccc2)CC1)COCCOCc1ccccc1,4.35
C(#CCN1CCOCC1)COC(c1ccccc1)c1ccccc1.Cl,4.0
C(#Cc1ccccc1)CN1CCOCC1.Cl,4.65
C(#Cc1ccccc1)Cn1nnc2ccccc21,6.2
C(=C/CSc1nc[nH]n1)\CSc1nc[nH]n1,5.4
C(=C/c1ccccc1)\CN1CCN(Cc2ccc3c(c2)OCO3)CC1,3.95
C(=C/c1ccccc1)\CN1CCN(c2ncnc3c2oc2ccccc23)CC1,3.95
C(=C/c1nccc2c1[nH]c1ccccc12)\c1ccccc1,6.2
C(=C/n1nnc2ccccc21)\c1ccc[nH]1,5.45
C(=C/n1nnc2ccccc21)\c1ccccn1,4.1
C(=N/N1CCN(C2c3ccccc3-c3ccccc32)CC1)\c1ccncc1,4.0
C(=N/N1CCN(c2ccccn2)CC1)\c1cccc2ccccc12,5.8
C(=N/N1CCOCC1)\c1cccs1,5.05
