Smiles,is_active
Cc1sc2ncnc(SCC#N)c2c1C,1
C[C@@](Cc1ccccc1)(C(=O)O)N1C(=O)c2ccc(C(=O)O)cc2C1=O,1
CC1(C)Oc2ccc(C(=O)N3CCOCC3)cc2N(CC(=O)N2CCOCC2)C1=O,1
O=C(Nc1ccccc1N1CCCC1)C1CCN(S(=O)(=O)c2ccc(F)cc2)CC1,1
O=C(Nc1ccccc1N1CCCC1)C1CCN(S(=O)(=O)c2ccccc2C(F)(F)F)CC1,1
CC1(C)SC2[C@H](NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+],1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,1
NC(=O)c1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,1
O=C(Nc1ccccc1N1CCCCC1)C1CCN(S(=O)(=O)c2cccc(C(F)(F)F)c2)CC1,1
Cc1cc(NC(=O)CSc2nc(C(C)C)nc3sc(C)c(C)c23)no1,1
Cc1cc(NC(=O)CSc2nc(C3CC3)nc3sc(C)c(C)c23)no1,1
COCCCNC(=O)c1sc2ncnc(N3CCc4ccccc4C3)c2c1C,1
NC(=O)c1cccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)c1,1
Cc1cccnc1NC(=O)CSc1ncnc2sc(C)c(C)c12,1
CC(C)CC(OC(=O)c1ccco1)C(=O)NCC1CCCO1,1
Cc1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,1
O=C(NCC(=O)N(c1ccccc1F)C(C(=O)NC1CCCC1)c1ccncc1)c1ccco1,1
O=C(NCC(=O)N(c1ccccc1F)C(C(=O)NCC1CCCO1)c1ccccc1)c1ccco1,1
O=C(NCC(=O)N(c1cnc2ccccc2c1)C(C(=O)NC1CCCC1)c1ccncc1)c1ccco1,1
Cc1c(C(=O)NC2CCCCC2)sc2ncnc(N3CCN(c4ccccc4)CC3)c12,1
COc1ccc(C[C@H](C(=O)O)N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,1
COc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3N3CCCCC3)CC2)cc1OC,1
Cc1ccc(N(C(=O)CNC(=O)c2ccco2)C(C(=O)NCC2CCCO2)c2ccccc2)cc1,1
Cc1cc(S(=O)(=O)N2CCOCC2)ccc1OCC(=O)Nc1cccc(C(F)(F)F)c1,1
CNc1oc(Cc2ccccc2)nc1S(=O)(=O)c1ccccc1,1
Cn1c(C(=O)Nc2ccc3c(c2)OCO3)cc2sccc21,1
Cc1ccc(NC(=O)CN2C(=O)C(C)Oc3ccccc32)nc1,1
CC(C)OC(=O)c1cc2c(ccn2C)n1CC(=O)N(Cc1ccccc1)c1ccc(F)cc1,1
Cc1ccc(NC(=O)CN2C(=O)S/C(=C\c3cc(Cl)c(OCC(=O)O)c(Cl)c3)C2=O)cc1,1
CCOC(=O)c1cc2c(ccn2C)n1CC(=O)N(Cc1ccccc1)c1ccc(F)cc1,1
Cc1nc(N2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)c2c(C)c(C)sc2n1,1
Cc1nc(N2CCN(S(=O)(=O)c3cccc4nonc34)CC2)c2c3c(sc2n1)CCCC3,1
COc1cc(/C=C2\SC(=O)N(CC(=O)Nc3ccccc3F)C2=O)cc(Cl)c1O,1
