SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
CCOC(=O)c1cc(NC(=O)c2ccccc2)c(=O)n2c1oc1ccc(Cl)cc12,MOL0035,OK,410.81300000000016,4.1281000000000025,1,6,90.02,4
CCOc1ccc(CC(=O)NCCS(=O)(=O)N2CCN(c3ccc(OC)cc3)CC2)cc1,MOL0036,OK,461.5840000000003,1.9046000000000005,1,6,88.17999999999999,10
O=C(COCc1cc(-c2cccs2)on1)Nc1cccc(Cl)c1Cl,MOL0037,OK,383.2560000000001,4.8652000000000015,1,5,64.36,6
CCOc1ccc(-c2c(C)nn3c(C)c(C(=O)NCc4ccc(C)o4)cnc23)cc1OCC,MOL0038,OK,448.52300000000025,4.641960000000004,1,7,90.89000000000001,8
O=[N+]([O-])c1cc(-c2nc(-c3ccccc3)no2)ccc1N1CCCCC1,MOL0039,OK,350.37800000000027,4.302100000000003,0,6,85.3,4
Cc1cccc(CCNC(=O)c2ccc3c(c2)nc2n3CCOC2)c1,MOL0040,OK,335.40700000000015,2.8474200000000014,1,4,56.150000000000006,4
CCOc1ccccc1CNC(=O)c1ccc(Cn2c(SCc3ccccc3)nc3cccnc32)cc1,MOL0041,OK,508.64700000000016,6.100600000000005,1,6,69.03999999999999,10
COC(=O)c1c(NC(=O)c2ccc(Cl)c(Cl)c2)sc2c1CCCC2,MOL0042,OK,384.2840000000002,4.972600000000003,1,4,55.4,3
CCOc1ccc(N2CC(C(=O)NCc3nnnn3-c3ccc(C)c(C)c3)CC2=O)cc1,MOL0043,OK,434.5000000000002,2.3471400000000004,1,7,102.23999999999998,7
Cc1cc(NC(=O)c2ccc(F)cc2)ccc1-c1cc2ccccc2oc1=O,MOL0044,Filter14_thio_oxopyrylium_salt > 0,373.38300000000015,5.159820000000003,1,3,59.31,3
Cc1ccc(NC(=O)c2ccc(-c3cccc(Cl)c3C)o2)cc1,MOL0045,OK,325.7950000000001,5.469140000000003,1,2,42.24,3
CCOC(=O)c1cc(C)n(CC2CCC(C(=O)Nc3cc(OC)cc(OC)c3)CC2)c1C,MOL0046,OK,442.55600000000027,4.743940000000004,1,6,78.79,8
COCC(=O)Nc1c(C(=O)Nc2ccc(C)cc2)oc2ccccc12,MOL0047,OK,338.3630000000001,3.578420000000002,2,4,80.57,5
COc1ccc2nc(NC(=O)c3nc(SCc4ccccc4F)ncc3Cl)sc2c1,MOL0048,OK,460.94300000000004,5.432000000000002,1,7,77.0,6
Cc1cccn2c(=O)c(/C=C(\C#N)c3nc4ccccc4s3)c(Oc3ccc(F)cc3)nc12,MOL0049,OK,454.48600000000016,5.608200000000003,0,7,80.28,4
CCOc1ccc(NC(=O)Nc2nnc(N3CCCCC3C)s2)cc1,MOL0050,OK,361.4710000000001,3.9596000000000027,2,6,79.38,5
CCc1cccc(C)c1NC(=O)CN1C(=O)c2cccc3cccc1c23,MOL0051,OK,344.41400000000004,4.309520000000004,1,2,49.410000000000004,4
OB(O)c1cc2ccccc2s1,MOL0052,Filter9_metal > 0,178.021,0.5811000000000001,2,3,40.46,1
Cc1cccc2c1N(Cc1ccccc1OCCC(C)C)C(=O)C2=O,MOL0053,Filter41_12_dicarbonyl > 0,337.41900000000015,4.149420000000004,0,3,46.61,6
Cc1ccc(Cl)cc1Nc1sc(C(=O)c2ccccc2)c(N)c1S(=O)(=O)c1ccccc1,MOL0054,OK,483.0140000000002,6.099520000000004,2,6,89.25999999999999,6
