Smiles,pChEMBL_Value
CC(=O)c1ccc(N2CCN(c3nc4ccccc4c4nc(-c5cccc(C)c5)nn34)CC2)cc1,5.95
CC(=O)c1ccc(N2CCN(c3ncnc4onc(C)c34)CC2)cc1,5.3
CC(=O)c1ccc(NC(=O)/C=C/c2ccc(C)o2)cc1,4.1
CC(=O)c1ccc(NC(=O)C(Cc2ccccc2)NS(=O)(=O)c2ccc3c(c2)CCC(=O)N3)cc1,5.55
CC(=O)c1ccc(NC(=O)C2CCC(CNS(=O)(=O)c3cccc4nsnc34)CC2)cc1,5.55
CC(=O)c1ccc(NC(=O)CC2Nc3cc(C)c(C)cc3NC2=O)cc1,5.4
CC(=O)c1ccc(NC(=O)CCCc2nc(-c3cccc(C)c3)no2)cc1,4.1
CC(=O)c1ccc(NC(=O)CCc2c(C)nn(-c3ccc(N4CCCCC4)nn3)c2C)cc1,5.1
CC(=O)c1ccc(NC(=O)CCc2nc(-c3ccc(C)cc3)no2)cc1,4.4
CC(=O)c1ccc(NC(=O)CCn2cccn2)cc1,5.3
CC(=O)c1ccc(NC(=O)COc2ccccc2-c2nc(C(C)C)no2)cc1,5.9
CC(=O)c1ccc(NC(=O)CSc2nnc3c(n2)[nH]c2ccccc23)cc1,4.0
CC(=O)c1ccc(NC(=O)Cn2c(=O)oc3cc(S(=O)(=O)N4CCCCC4)ccc32)cc1,5.8
CC(=O)c1ccc(NC(=O)Cn2nc(C(F)(F)F)c3c2CCC3)cc1,4.4
CC(=O)c1ccc(NC(=O)c2cc(-c3ccc4c(c3)OCO4)on2)cc1,4.0
CC(=O)c1ccc(NC(=O)c2ccc(CN3C(=O)CCn4nc(C)cc43)cc2)cc1,4.0
CC(=O)c1ccc(NC(=O)c2ccc(NC(=O)CCS(=O)(=O)c3cccs3)cc2)cc1,5.35
CC(=O)c1ccc(NC(=O)c2nc(-c3ccccc3)n(-c3ccc(C)cc3)n2)cc1,5.35
CC(=O)c1ccc(NC(=O)c2nc3nc(C)cc(C(F)F)n3n2)cc1,4.15
CC(=O)c1ccc(NC(=O)c2nn(C)c3c2CS(=O)(=O)c2ccccc2-3)cc1,3.95
CC(=O)c1ccc(NC(=O)c2noc3c2CCc2ccccc2-3)cc1,5.5
CC(=O)c1ccc(NC(=O)c2noc3c2CSc2ccccc2-3)cc1,4.95
CC(=O)c1ccc(NC2=NS(=O)(=O)c3ccccc32)cc1,7.7
CC(=O)c1ccc(Nc2cc(C)nc3nc(Cc4ccccc4)nn23)cc1,4.1
CC(=O)c1ccc(Nc2nc(=O)c3cccnc3s2)cc1,4.0
CC(=O)c1ccc(S(=O)(=O)Nc2ccc(-c3ccc(N4CCCCCC4)nn3)cc2)cc1,3.95
CC(=O)c1ccc(S(=O)(=O)Nc2ccc(-c3cn4c(C)csc4n3)cc2)cc1,6.15
CC(=O)c1cccc(-n2c(CCC(=O)O)ccc2-c2ccccc2)c1,4.0
CC(=O)c1cccc(NC(=O)C2=CC(c3ccco3)=NS(=O)(=O)N2C)c1,4.05
CC(=O)c1cccc(NC(=O)C2CCCN(C(=O)c3cnn(-c4ccccc4)c3-n3cccc3)C2)c1,3.95
CC(=O)c1cccc(NC(=O)C2CCCN(c3nnc(-n4cccc4)s3)C2)c1,5.3
CC(=O)c1cccc(NC(=O)C2CCN(C(=O)c3cnn(-c4ccccc4)c3-n3cccc3)CC2)c1,5.55
CC(=O)c1cccc(NC(=O)Cc2noc3ccccc23)c1,3.95
CC(=O)c1cccc(NC(=O)Cn2c(=O)oc3cc(S(=O)(=O)NC4CCCC4)ccc32)c1,5.45
CC(=O)c1cccc(NC(=O)Cn2nc(C(F)(F)F)c3c2CCC3)c1,4.0
CC(=O)c1cccc(NC(=O)c2c(N3CCCC3=O)c3cc(F)ccc3n2C)c1,4.05
CC(=O)c1cccc(NC(=O)c2nc(-c3ccccc3)n(-c3cccc(C)c3)n2)c1,4.35
CC(=O)c1cccc(NC(=O)c2noc3c2CCCC3)c1,5.65
CC(=O)c1cccc(NS(=O)(=O)c2cc3c(cc2C)N(C(C)=O)CCO3)c1,3.95
CC(=O)c1cccc(NS(=O)(=O)c2ccc3[nH]c4c(c3c2)CCCCCC4)c1,4.25
CC(=O)c1cccc(Nc2cc(C)nc3nc(Cc4ccccc4)nn23)c1,4.55
CC(=O)c1cccc(Nc2nn(-c3ccc(OC(F)(F)F)cc3)nc2C(C)=O)c1,4.1
CC(=O)c1ccccc1NS(=O)(=O)c1cc2c(cc1C)NC(=O)CO2,5.05
CC(=O)c1nn(-c2ccc(OC(F)(F)F)cc2)nc1Nc1ccccc1,5.2
